code_iso;code_key
FSM;FSM
MDA;MDA
MCO;MCO
MNG;MNG
MNE;MNE
MAR;MAR
MOZ;MOZ
NAM;NAM
NRU;NRU
NPL;NPL
NLD;NLD-Aruba
NLD;NLD-Bonaire--Sint-Eustatius-and-Saba
NLD;NLD-Curacao
NLD;NLD-Drenthe
NLD;NLD-Flevoland
NLD;NLD-Friesland
NLD;NLD-Gelderland
NLD;NLD-Groningen
NLD;NLD-Limburg
NLD;NLD-Noord-Brabant
NLD;NLD-Noord-Holland
NLD;NLD-Overijssel
NLD;NLD-Sint-Maarten
NLD;NLD-Utrecht
NLD;NLD-Zeeland
NLD;NLD-Zuid-Holland
NZL;NZL-Cook-Islands
NZL;NZL-Niue
NZL;NZL
NIC;NIC
NER;NER
NGA;NGA
MKD;MKD
NOR;NOR
OMN;OMN
PAK;PAK-Azad-Jammu-and-Kashmir
PAK;PAK-Balochistan
PAK;PAK-Gilgit-Baltistan
PAK;PAK-Islamabad
PAK;PAK-Khyber-Pakhtunkhwa
PAK;PAK-Punjab
PAK;PAK-Sindh
PLW;PLW
PAN;PAN
PNG;PNG
PRY;PRY
PER;PER-Amazonas
PER;PER-Ancash
PER;PER-Apurimac
PER;PER-Arequipa
PER;PER-Ayacucho
PER;PER-Cajamarca
PER;PER-Callao
PER;PER-Cusco
PER;PER-Huancavelica
PER;PER-Huanuco
PER;PER-Ica
PER;PER-Junin
PER;PER-La-Libertad
PER;PER-Lambayeque
PER;PER-Lima
PER;PER-Loreto
PER;PER-Madre-de-Dios
PER;PER-Moquegua
PER;PER-Pasco
PER;PER-Piura
PER;PER-Puno
PER;PER-San-Martin
PER;PER-Tacna
PER;PER-Tumbes
PER;PER-Ucayali
PHL;PHL
POL;POL
PRT;PRT
QAT;QAT
ROU;ROU
RUS;RUS-Adygea-Republic
RUS;RUS-Altai-Krai
RUS;RUS-Altai-Republic
RUS;RUS-Amur-Oblast
RUS;RUS-Arkhangelsk-Oblast
RUS;RUS-Astrakhan-Oblast
RUS;RUS-Bashkortostan-Republic
RUS;RUS-Belgorod-Oblast
RUS;RUS-Bryansk-Oblast
RUS;RUS-Buryatia-Republic
RUS;RUS-Chechen-Republic
RUS;RUS-Chelyabinsk-Oblast
RUS;RUS-Chukotka-Autonomous-Okrug
RUS;RUS-Chuvashia-Republic
RUS;RUS-Dagestan-Republic
RUS;RUS-Ingushetia-Republic
RUS;RUS-Irkutsk-Oblast
RUS;RUS-Ivanovo-Oblast
RUS;RUS-Jewish-Autonomous-Okrug
RUS;RUS-Kabardino-Balkarian-Republic
RUS;RUS-Kaliningrad-Oblast
RUS;RUS-Kalmykia-Republic
RUS;RUS-Kaluga-Oblast
RUS;RUS-Kamchatka-Krai
RUS;RUS-Karachay-Cherkess-Republic
RUS;RUS-Karelia-Republic
RUS;RUS-Kemerovo-Oblast
RUS;RUS-Khabarovsk-Krai
RUS;RUS-Khakassia-Republic
RUS;RUS-Khanty-Mansi-Autonomous-Okrug
RUS;RUS-Kirov-Oblast
RUS;RUS-Komi-Republic
RUS;RUS-Kostroma-Oblast
RUS;RUS-Krasnodar-Krai
RUS;RUS-Krasnoyarsk-Krai
RUS;RUS-Kurgan-Oblast
RUS;RUS-Kursk-Oblast
RUS;RUS-Leningrad-Oblast
RUS;RUS-Lipetsk-Oblast
RUS;RUS-Magadan-Oblast
RUS;RUS-Mari-El-Republic
RUS;RUS-Mordovia-Republic
RUS;RUS-Moscow
RUS;RUS-Moscow-Oblast
RUS;RUS-Murmansk-Oblast
RUS;RUS-Nenets-Autonomous-Okrug
RUS;RUS-Nizhny-Novgorod-Oblast
RUS;RUS-North-Ossetia---Alania-Republic
RUS;RUS-Novgorod-Oblast
RUS;RUS-Novosibirsk-Oblast
RUS;RUS-Omsk-Oblast
RUS;RUS-Orel-Oblast
RUS;RUS-Orenburg-Oblast
RUS;RUS-Penza-Oblast
RUS;RUS-Perm-Krai
RUS;RUS-Primorsky-Krai
RUS;RUS-Pskov-Oblast
RUS;RUS-Rostov-Oblast
RUS;RUS-Ryazan-Oblast
RUS;RUS-Saint-Petersburg
RUS;RUS-Sakha-(Yakutiya)-Republic
RUS;RUS-Sakhalin-Oblast
RUS;RUS-Samara-Oblast
RUS;RUS-Saratov-Oblast
RUS;RUS-Smolensk-Oblast
RUS;RUS-Stavropol-Krai
RUS;RUS-Sverdlovsk-Oblast
RUS;RUS-Tambov-Oblast
RUS;RUS-Tatarstan-Republic
RUS;RUS-Tomsk-Oblast
RUS;RUS-Tula-Oblast
RUS;RUS-Tver-Oblast
RUS;RUS-Tyumen-Oblast
RUS;RUS-Tyva-Republic
RUS;RUS-Udmurt-Republic
RUS;RUS-Ulyanovsk-Oblast
RUS;RUS-Vladimir-Oblast
RUS;RUS-Volgograd-Oblast
RUS;RUS-Vologda-Oblast
RUS;RUS-Voronezh-Oblast
RUS;RUS-Yamalo-Nenets-Autonomous-Okrug
